DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
1.74,1569295021634.0,0,0,0
1.74,1569295022095.0,0,0,0
1.74,1569295022555.0,0,0,0
1.74,1569295023014.0,0,0,0
1.74,1569295023485.0,0,0,0
1.74,1569295023944.0,0,0,0
1.74,1569295024404.0,0,0,0
1.74,1569295024864.0,0,0,0
1.74,1569295025324.0,0,0,0
1.74,1569295025785.0,0,0,0
1.74,1569295026244.0,0,0,0
1.74,1569295026704.0,0,0,0
1.74,1569295027164.0,0,0,0
1.74,1569295027624.0,0,0,0
1.74,1569295028084.0,0,0,0
1.62,1569295028545.0,0,0,0
1.53,1569295029004.0,0,0,0
1.02,1569295029464.0,0,0,0
1.05,1569295029924.0,0,0,0
1.05,1569295030394.0,0,0,0
1.08,1569295030877.0,0,0,0
1.08,1569295031306.0,0,0,0
1.08,1569295031765.0,0,0,0
1.08,1569295032224.0,0,0,0
1.11,1569295032684.0,0,0,0
1.1400000000000001,1569295033134.0,0,0,0
1.1400000000000001,1569295033594.0,0,0,0
1.17,1569295034054.0,0,0,0
1.2,1569295034516.0,0,0,0
1.2,1569295034974.0,0,0,0
1.2,1569295035434.0,0,0,0
1.2,1569295035894.0,0,0,0
1.2,1569295036355.0,0,0,0
1.2,1569295036814.0,0,0,0
1.2,1569295037289.0,0,0,0
1.2,1569295037734.0,0,0,0
1.2,1569295038194.0,0,0,0
1.2,1569295038664.0,0,0,0
1.23,1569295039125.0,0,0,0
1.23,1569295039595.0,0,0,0
1.23,1569295040055.0,0,0,0
1.23,1569295040514.0,0,0,0
1.23,1569295040976.0,0,0,0
1.23,1569295041444.0,0,0,0
1.23,1569295041895.0,0,0,0
1.23,1569295042365.0,0,0,0
1.23,1569295042814.0,0,0,0
1.23,1569295043285.0,0,0,0
1.23,1569295043745.0,0,0,0
1.23,1569295044215.0,0,0,0
1.23,1569295044674.0,0,0,0
1.23,1569295045125.0,0,0,0
1.23,1569295045594.0,0,0,0
1.26,1569295046055.0,0,0,0
1.26,1569295046514.0,0,0,0
1.26,1569295046975.0,0,0,0
1.26,1569295047435.0,0,0,0
1.26,1569295047894.0,0,0,0
1.26,1569295048355.0,0,0,0
1.26,1569295048814.0,0,0,0
1.26,1569295049265.0,0,0,0
1.26,1569295049725.0,0,0,0
1.26,1569295050185.0,0,0,0
1.26,1569295050645.0,0,0,0
1.26,1569295051105.0,0,0,0
1.26,1569295051577.0,0,0,0
1.26,1569295052015.0,0,0,0
1.26,1569295052475.0,0,0,0
1.26,1569295052935.0,0,0,0
1.29,1569295053395.0,0,0,0
1.26,1569295053855.0,0,0,0
-0.03,1569295054315.0,-1,0,0
-0.03,1569295054785.0,-1,0,0
-0.03,1569295055244.0,-1,0,0
-0.03,1569295055705.0,-1,0,0
-0.03,1569295056165.0,-1,0,0
-0.03,1569295056625.0,-1,0,0
-0.03,1569295057085.0,-1,0,0
-0.03,1569295057545.0,-1,0,0
-0.03,1569295058004.0,-1,0,0
-0.03,1569295058474.0,-1,0,0
-0.03,1569295058935.0,-1,0,0
-0.03,1569295059405.0,-1,0,0
-0.03,1569295059854.0,1,0,0
-0.03,1569295060315.0,1,0,0
-0.03,1569295060774.0,1,0,0
-0.03,1569295061235.0,1,0,0
-0.03,1569295061695.0,1,0,0
-0.03,1569295062155.0,1,0,0
-0.03,1569295062660.0,1,0,0
-0.03,1569295063075.0,1,0,0
-0.03,1569295063545.0,1,0,0
-0.03,1569295064004.0,1,0,0
-0.03,1569295064465.0,1,0,0
-0.03,1569295064925.0,1,0,0
-0.03,1569295065385.0,1,0,0
-0.03,1569295065834.0,1,0,0
-0.03,1569295066295.0,1,0,0
-0.03,1569295066755.0,1,0,0
-0.03,1569295067225.0,1,0,0
-0.03,1569295067685.0,1,0,0
-0.03,1569295068145.0,1,0,0
-0.03,1569295068605.0,1,0,0
-0.03,1569295069074.0,1,0,0
-0.03,1569295069535.0,1,0,0
-0.03,1569295069996.0,1,0,0
-0.03,1569295070465.0,1,0,0
-0.03,1569295070915.0,1,0,0
-0.03,1569295071385.0,1,0,0
-0.03,1569295071855.0,1,0,0
-0.03,1569295072315.0,1,0,0
-0.03,1569295072785.0,1,0,0
-0.03,1569295073245.0,1,0,0
-0.03,1569295073706.0,1,0,0
-0.03,1569295074166.0,1,0,0
-0.03,1569295074625.0,1,0,0
-0.03,1569295075086.0,1,0,0
-0.03,1569295075545.0,1,0,0
-0.03,1569295076006.0,1,0,0
-0.03,1569295076465.0,1,0,0
-0.03,1569295076925.0,1,0,0
-0.03,1569295077395.0,1,0,0
-0.03,1569295077845.0,1,0,0
-0.03,1569295078305.0,1,0,0
-0.03,1569295078765.0,1,0,0
-0.03,1569295079235.0,1,0,0
-0.03,1569295079686.0,1,0,0
-0.03,1569295080144.0,1,0,0
-0.03,1569295080605.0,1,0,0
-0.03,1569295081065.0,1,0,0
-0.03,1569295081525.0,1,0,0
-0.03,1569295081985.0,1,0,0
-0.03,1569295082457.0,1,0,0
-0.03,1569295082915.0,1,0,0
-0.03,1569295083385.0,1,0,0
-0.03,1569295083855.0,1,0,0
-0.03,1569295084316.0,1,0,0
-0.03,1569295084774.0,1,0,0
-0.03,1569295085235.0,1,0,0
