DT_steerAngle,Timestamp,Action,Bump,Traffic congestion
-47.7,1569376927333.0,3,0,0
-48.300000000000004,1569376927792.0,3,0,0
-48.1,1569376928253.0,3,0,0
-33.300000000000004,1569376928717.0,3,0,0
-17.1,1569376929178.0,3,0,0
-12.5,1569376929643.0,3,0,0
-11.4,1569376930102.0,1,0,1
-4.1000000000000005,1569376930564.0,1,0,1
0.7000000000000001,1569376931022.0,1,0,1
3.2,1569376931487.0,1,0,1
0.1,1569376931949.0,1,0,1
-0.1,1569376932403.0,1,0,1
-0.6000000000000001,1569376932862.0,1,0,1
-0.8,1569376933337.0,1,0,1
-0.9,1569376933796.0,1,0,1
-0.8,1569376934251.0,1,0,1
-3.3000000000000003,1569376934711.0,1,0,1
-2.9000000000000004,1569376935172.0,1,0,1
3.6,1569376935636.0,4,0,1
7.0,1569376936092.0,4,0,1
10.9,1569376936552.0,4,0,1
16.6,1569376937012.0,4,0,1
27.3,1569376937472.0,4,0,1
22.3,1569376937932.0,4,0,1
12.600000000000001,1569376938392.0,4,0,1
11.200000000000001,1569376938852.0,4,0,1
4.4,1569376939374.0,4,0,1
2.9000000000000004,1569376939772.0,4,0,1
3.0,1569376940232.0,4,0,1
3.0,1569376940697.0,4,0,1
3.5,1569376941157.0,4,0,1
3.2,1569376941617.0,4,0,1
-0.4,1569376942082.0,4,0,1
-2.1,1569376942547.0,4,0,1
-4.5,1569376943007.0,4,0,1
-5.1000000000000005,1569376943472.0,4,0,1
-5.5,1569376943928.0,4,0,1
-8.4,1569376944387.0,4,0,1
-9.1,1569376944847.0,4,0,1
-11.8,1569376945307.0,1,0,0
-11.700000000000001,1569376945767.0,1,0,0
-11.4,1569376946227.0,1,0,0
-6.7,1569376946687.0,1,0,0
-5.2,1569376947147.0,1,0,0
-4.2,1569376947607.0,1,0,0
0.7000000000000001,1569376948067.0,1,0,0
2.0,1569376948527.0,1,0,0
3.4000000000000004,1569376948987.0,1,0,0
3.2,1569376949448.0,1,0,0
2.9000000000000004,1569376949906.0,1,0,0
3.1,1569376950372.0,1,0,0
3.1,1569376950832.0,1,0,0
2.6,1569376951292.0,1,0,0
-0.9,1569376951751.0,1,0,0
-4.3,1569376952212.0,1,0,0
-3.6,1569376952672.0,1,0,0
-3.2,1569376953134.0,1,0,0
-2.8000000000000003,1569376953601.0,1,0,0
0.4,1569376954061.0,1,0,0
5.300000000000001,1569376954530.0,1,0,0
9.3,1569376954991.0,1,0,0
10.3,1569376955450.0,1,0,0
6.7,1569376955906.0,1,0,0
6.2,1569376956366.0,1,0,0
5.5,1569376956831.0,1,0,0
5.300000000000001,1569376957290.0,1,0,0
4.9,1569376957756.0,1,0,0
4.6000000000000005,1569376958215.0,1,0,0
4.6000000000000005,1569376958677.0,1,0,0
12.8,1569376959141.0,1,0,0
9.8,1569376959601.0,1,0,0
12.3,1569376960061.0,-1,0,1
10.5,1569376960526.0,-1,0,1
4.800000000000001,1569376960986.0,-1,0,1
5.7,1569376961465.0,-1,0,1
-3.5,1569376961911.0,-1,0,1
-0.1,1569376962371.0,-1,0,1
0.1,1569376962831.0,-1,0,1
0.1,1569376963296.0,-1,0,1
-0.7000000000000001,1569376963756.0,-1,0,1
-17.400000000000002,1569376964221.0,-1,0,1
-22.3,1569376964681.0,-1,0,1
-30.400000000000002,1569376965146.0,-1,0,1
-7.9,1569376965601.0,-1,0,1
12.8,1569376966061.0,-1,0,1
18.3,1569376966531.0,-1,0,1
5.2,1569376966991.0,-1,0,1
-27.900000000000002,1569376967465.0,-1,0,1
-30.3,1569376967942.0,-1,0,1
-29.0,1569376968371.0,-1,0,1
-12.9,1569376968831.0,-1,0,1
-10.0,1569376969291.0,-1,0,1
-9.1,1569376969762.0,-1,0,1
-7.1000000000000005,1569376970217.0,1,0,0
-2.0,1569376970681.0,1,0,0
-1.2000000000000002,1569376971146.0,1,0,0
-1.6,1569376971605.0,1,0,0
-1.7000000000000002,1569376972066.0,1,0,0
3.5,1569376972520.0,1,0,0
6.0,1569376972986.0,1,0,0
8.700000000000001,1569376973465.0,1,0,0
16.3,1569376973916.0,1,0,0
16.8,1569376974375.0,1,0,0
16.7,1569376974840.0,1,0,0
16.400000000000002,1569376975301.0,1,0,0
10.700000000000001,1569376975765.0,1,0,0
14.4,1569376976226.0,1,0,0
12.0,1569376976686.0,1,0,0
5.4,1569376977146.0,1,0,0
-1.1,1569376977615.0,1,0,0
-1.0,1569376978075.0,1,0,0
0.6000000000000001,1569376978546.0,1,0,0
