DT_acceleration,Timestamp,Action,Bump,Traffic congestion
0.124,1569377038060.0,1,0,0
0.062,1569377038530.0,1,0,0
-0.054,1569377038990.0,1,0,0
-0.125,1569377039440.0,1,0,0
-0.10200000000000001,1569377039901.0,1,0,0
0.037,1569377040360.0,1,0,0
0.106,1569377040860.0,1,0,0
0.14400000000000002,1569377041280.0,1,0,0
0.165,1569377041750.0,1,0,0
0.148,1569377042201.0,1,0,0
0.034,1569377042661.0,1,0,0
-0.338,1569377043121.0,1,0,0
-0.39,1569377043591.0,1,0,1
-0.203,1569377044051.0,1,0,1
-0.441,1569377044511.0,1,0,1
-0.797,1569377044971.0,1,0,1
-1.131,1569377045441.0,1,0,1
-0.8270000000000001,1569377045901.0,1,0,0
-0.454,1569377046361.0,1,0,0
-0.105,1569377046821.0,1,0,0
0.203,1569377047281.0,1,0,0
0.367,1569377047741.0,1,0,0
0.271,1569377048210.0,1,0,0
-0.064,1569377048670.0,1,0,1
-0.432,1569377049131.0,1,0,1
-0.708,1569377049591.0,1,0,1
-0.753,1569377050061.0,1,0,1
-0.535,1569377050521.0,1,0,1
-0.276,1569377050980.0,1,0,1
-0.13,1569377051441.0,1,0,1
-0.055,1569377051901.0,1,0,1
0.028,1569377052361.0,1,0,1
0.057,1569377052831.0,1,0,1
-0.006,1569377053291.0,1,0,1
-0.098,1569377053751.0,1,0,1
-0.11800000000000001,1569377054223.0,0,0,0
-0.089,1569377054691.0,0,0,0
-0.047,1569377055161.0,0,0,0
-0.02,1569377055621.0,0,0,0
-0.008,1569377056081.0,0,0,0
-0.003,1569377056541.0,0,0,0
-0.001,1569377057001.0,0,0,0
-0.001,1569377057462.0,0,0,0
0.0,1569377057931.0,0,0,0
0.0,1569377058401.0,0,0,0
0.0,1569377058861.0,0,0,0
0.0,1569377059321.0,0,0,0
0.0,1569377059782.0,0,0,0
0.0,1569377060251.0,0,0,0
0.0,1569377060711.0,0,0,0
0.0,1569377061171.0,0,0,0
0.0,1569377061631.0,0,0,0
0.0,1569377062091.0,0,0,0
