brake_data,Timestamp,Action,Bump,Traffic congestion
0.03,1577264267372,3,0,0
0.03,1577264267822,3,0,0
0.06,1577264268272,3,0,0
0.09,1577264268722,3,0,0
0.12,1577264269172,3,0,0
655.33,1577264269622,3,0,0
0.0,1577264270082,3,0,0
0.0,1577264270532,3,0,0
0.0,1577264270982,3,0,0
0.0,1577264271433,3,0,0
0.0,1577264271882,3,0,0
0.0,1577264272332,3,0,0
0.0,1577264272782,3,0,0
0.0,1577264273232,3,0,0
0.0,1577264273682,3,0,0
0.0,1577264274132,3,0,0
0.0,1577264274582,3,0,0
0.0,1577264275032,3,0,0
0.0,1577264275482,3,0,0
0.0,1577264275932,3,0,0
0.0,1577264276382,3,0,0
0.0,1577264276832,3,0,0
0.0,1577264277282,4,0,0
0.0,1577264277732,4,0,0
0.0,1577264278183,4,0,0
0.0,1577264278632,4,0,0
0.0,1577264279083,4,0,0
0.0,1577264279533,4,0,0
0.0,1577264279983,4,0,0
0.0,1577264280432,4,0,0
0.0,1577264280883,4,0,0
0.0,1577264281332,4,0,0
0.0,1577264281783,4,0,0
0.0,1577264282243,4,0,0
0.0,1577264282652,4,0,0
0.0,1577264283103,4,0,0
0.0,1577264283552,4,0,0
0.0,1577264284003,4,0,0
0.0,1577264284452,4,0,0
0.0,1577264284903,4,0,0
0.0,1577264285352,4,0,0
0.0,1577264285803,4,0,0
0.0,1577264286252,4,0,0
0.0,1577264286703,4,0,0
0.0,1577264287152,4,0,0
0.0,1577264287602,1,0,0
0.0,1577264288052,1,0,0
0.0,1577264288502,1,0,0
0.0,1577264288952,1,0,0
0.0,1577264289402,1,0,0
0.0,1577264289852,1,0,0
0.0,1577264290302,1,0,0
0.0,1577264290752,1,0,0
0.03,1577264291202,1,0,0
0.0,1577264291652,1,0,0
0.0,1577264292102,1,0,0
0.0,1577264292552,1,0,0
0.0,1577264293002,1,0,0
0.0,1577264293452,1,0,0
0.0,1577264293902,1,0,0
0.0,1577264294352,1,0,0
0.0,1577264294802,1,0,0
1.29,1577264295252,1,0,0
1.14,1577264295702,-1,0,0
0.0,1577264296152,-1,0,0
0.0,1577264296603,-1,0,0
0.0,1577264297052,-1,0,0
0.0,1577264297503,-1,0,0
0.0,1577264297952,-1,0,0
0.0,1577264298402,-1,0,0
0.0,1577264298852,-1,0,0
0.0,1577264299302,-1,0,0
0.0,1577264299752,-1,0,0
0.0,1577264300202,-1,0,0
0.0,1577264300652,1,0,0
0.0,1577264301102,1,0,0
0.0,1577264301552,1,0,0
0.0,1577264302002,1,0,0
0.0,1577264302452,1,0,0
0.0,1577264302902,1,0,0
0.0,1577264303352,1,0,0
0.0,1577264303803,1,0,0
0.0,1577264304252,1,0,0
0.0,1577264304703,1,0,0
0.0,1577264305152,1,0,0
0.0,1577264305602,1,0,0
0.0,1577264306052,1,0,0
0.0,1577264306503,1,0,0
0.0,1577264306952,1,0,0
0.0,1577264307403,1,0,0
0.0,1577264307852,1,0,0
0.0,1577264308292,1,0,0
0.0,1577264308742,1,0,0
0.0,1577264309202,1,0,0
0.0,1577264309652,1,0,0
0.0,1577264310102,1,0,0
0.0,1577264310552,1,0,0
0.0,1577264310992,1,0,0
0.0,1577264311442,1,0,0
0.0,1577264311892,1,0,0
0.0,1577264312342,1,0,0
0.0,1577264312792,1,0,0
0.0,1577264313242,1,0,0
0.0,1577264313692,1,0,0
0.0,1577264314142,1,0,0
0.0,1577264314582,1,0,0
0.0,1577264315032,1,0,0
0.0,1577264315482,1,0,0
0.0,1577264315932,1,0,0
0.0,1577264316382,1,0,0
0.0,1577264316832,1,0,0
0.0,1577264317282,1,0,0
0.0,1577264317732,1,0,0
0.0,1577264318182,1,0,0
0.0,1577264318632,1,0,0
0.0,1577264319072,1,0,0
0.0,1577264319522,1,0,0
0.0,1577264319972,1,0,0
0.0,1577264320422,1,0,0
0.0,1577264320872,1,0,0
0.0,1577264321322,1,0,0
0.0,1577264321772,1,0,0
0.0,1577264322212,1,0,0
0.0,1577264322662,1,0,0
0.0,1577264323112,1,0,0
0.0,1577264323552,1,0,0
0.0,1577264324002,1,0,0
0.0,1577264324452,1,0,0
0.0,1577264324902,1,0,0
0.0,1577264325352,1,0,0
0.0,1577264325792,1,0,0
0.0,1577264326232,1,0,0
0.0,1577264326682,1,0,0
0.0,1577264327132,1,0,0
0.0,1577264327572,1,0,0
0.0,1577264328022,1,0,0
0.0,1577264328472,1,0,0
0.0,1577264328922,1,0,0
0.0,1577264329372,1,0,0
0.0,1577264329812,1,0,0
0.0,1577264330262,1,0,0
0.0,1577264330712,1,0,0
0.0,1577264331162,1,0,0
0.0,1577264331612,1,0,0
0.0,1577264332052,1,0,0
0.0,1577264332502,1,0,0
0.0,1577264332952,1,0,0
0.0,1577264333402,1,0,0
0.78,1577264333852,8,0,0
1.26,1577264334303,8,0,0
1.2,1577264334753,8,0,0
0.18,1577264335202,8,0,0
0.0,1577264335652,8,0,0
0.18,1577264336092,8,0,0
0.24,1577264336542,8,0,0
1.17,1577264336992,8,0,0
0.0,1577264337443,8,0,0
0.0,1577264337892,8,0,0
0.0,1577264338342,8,0,0
0.0,1577264338792,8,0,0
0.0,1577264339232,8,0,0
0.0,1577264339672,8,0,0
0.0,1577264340112,8,0,0
0.0,1577264340562,8,0,0
0.0,1577264341012,8,0,0
0.0,1577264341462,8,0,0
0.0,1577264341912,8,0,0
0.0,1577264342362,8,0,0
0.0,1577264342812,8,0,0
0.0,1577264343262,8,0,0
0.0,1577264343712,8,0,0
0.0,1577264344162,8,0,0
0.0,1577264344612,8,0,0
0.0,1577264345062,8,0,0
0.0,1577264345512,8,0,0
0.0,1577264345962,8,0,0
0.0,1577264346412,8,0,0
0.0,1577264346862,8,0,0
0.0,1577264347312,8,0,0
0.0,1577264347762,8,0,0
0.0,1577264348213,8,0,0
0.0,1577264348662,8,0,0
0.0,1577264349112,8,0,0
0.0,1577264349562,8,0,0
0.0,1577264350012,8,0,0
0.0,1577264350462,8,0,0
0.0,1577264350912,8,0,0
0.0,1577264351362,8,0,0
0.36,1577264351812,8,0,0
0.06,1577264352263,8,0,0
0.03,1577264352712,8,0,0
0.33,1577264353162,8,0,0
0.69,1577264353612,8,0,0
0.42,1577264354062,8,0,0
0.27,1577264354512,8,0,0
0.54,1577264354972,8,0,0
0.51,1577264355422,8,0,0
0.0,1577264355872,8,0,0
0.0,1577264356322,8,0,0
0.0,1577264356772,8,0,0
0.0,1577264357222,8,0,0
0.0,1577264357672,8,0,0
0.0,1577264358122,8,0,0
0.0,1577264358573,8,0,0
0.0,1577264359022,8,0,0
0.0,1577264359472,8,0,0
0.42,1577264359922,8,0,0
1.23,1577264360372,8,0,0
1.35,1577264360822,8,0,0
0.12,1577264361272,8,0,0
0.0,1577264361722,8,0,0
0.0,1577264362172,8,0,0
0.0,1577264362622,8,0,0
0.0,1577264363072,8,0,0
0.0,1577264363522,-1,0,0
0.0,1577264363972,-1,0,0
0.0,1577264364422,-1,0,0
0.0,1577264364872,-1,0,0
0.0,1577264365322,-1,0,0
0.0,1577264365772,-1,0,0
0.0,1577264366222,-1,0,0
0.0,1577264366672,-1,0,0
0.0,1577264367122,-1,0,0
0.0,1577264367572,-1,0,0
0.0,1577264368022,-1,0,0
0.0,1577264368472,-1,0,0
0.0,1577264368922,-1,0,0
0.0,1577264369372,-1,0,0
0.0,1577264369822,-1,0,0
0.0,1577264370272,-1,0,0
0.0,1577264370722,-1,0,0
0.0,1577264371172,-1,0,0
0.0,1577264371622,-1,0,0
0.0,1577264372072,-1,0,0
0.0,1577264372522,-1,0,0
0.0,1577264372972,-1,0,0
0.0,1577264373422,-1,0,0
0.0,1577264373872,-1,0,0
0.0,1577264374322,-1,0,0
0.0,1577264374772,1,0,0
0.0,1577264375222,1,0,0
0.0,1577264375672,1,0,0
0.0,1577264376122,1,0,0
0.0,1577264376572,1,0,0
0.0,1577264377022,1,0,0
0.0,1577264377472,1,0,0
0.0,1577264377922,1,0,0
0.0,1577264378372,1,0,0
0.0,1577264378822,1,0,0
