accLateral_data,Timestamp,Action,Bump,Traffic congestion
0.0,1576127827497,2,0,0
-0.001,1576127827946,2,0,0
0.002,1576127828396,2,0,0
-0.001,1576127828846,2,0,0
-0.002,1576127829296,2,0,0
0.001,1576127829746,2,0,0
0.003,1576127830196,2,0,0
0.005,1576127830646,2,0,0
-0.003,1576127831096,2,0,0
-0.002,1576127831546,2,0,0
0.007,1576127831996,2,0,0
0.0,1576127832446,2,0,0
0.006,1576127832896,2,0,0
0.005,1576127833346,2,0,0
0.004,1576127833806,2,0,0
0.002,1576127834256,-1,0,0
0.0,1576127834706,-1,0,0
0.002,1576127835156,-1,0,0
0.0,1576127835606,-1,0,0
-0.006,1576127836056,-1,0,0
-0.004,1576127836506,-1,0,0
-0.003,1576127836956,-1,0,0
-0.003,1576127837406,-1,0,0
0.0,1576127837856,-1,0,0
0.001,1576127838306,-1,0,0
0.001,1576127838757,-1,0,0
0.003,1576127839206,-1,0,0
0.002,1576127839666,-1,0,0
0.0,1576127840116,-1,0,0
-0.003,1576127840566,9,0,0
-0.011,1576127841016,9,0,0
-0.01,1576127841466,9,0,0
-0.012,1576127841916,9,0,0
-0.016,1576127842366,9,0,0
-0.016,1576127842826,9,0,0
-0.005,1576127843276,9,0,0
-0.001,1576127843726,9,0,0
-0.004,1576127844176,9,0,0
-0.007,1576127844636,9,0,0
-0.007,1576127845086,9,0,0
-0.002,1576127845537,9,0,0
0.0,1576127845986,1,0,0
-0.002,1576127846436,1,0,0
-0.001,1576127846886,1,0,0
-0.003,1576127847336,1,0,0
-0.002,1576127847787,1,0,0
-0.003,1576127848246,1,0,0
0.0,1576127848696,1,0,0
-0.006,1576127849146,1,0,0
0.0,1576127849596,1,0,0
0.001,1576127850046,1,0,0
-0.004,1576127850496,1,0,0
-0.007,1576127850946,1,0,0
0.0,1576127851408,1,0,0
-0.001,1576127851856,3,0,0
-0.004,1576127852306,3,0,0
-0.004,1576127852756,3,0,0
-0.006,1576127853206,3,0,0
-0.014,1576127853656,3,0,0
-0.015,1576127854106,3,0,0
-0.014,1576127854556,3,0,0
-0.023,1576127855006,3,0,0
-0.019,1576127855456,3,0,0
-0.013000000000000001,1576127855906,3,0,0
-0.012,1576127856356,3,0,0
-0.011,1576127856806,3,0,0
-0.013000000000000001,1576127857256,3,0,0
-0.002,1576127857706,3,0,0
0.0,1576127858156,3,0,0
0.003,1576127858606,3,0,0
0.0,1576127859056,3,0,0
-0.001,1576127859506,4,0,0
0.007,1576127859956,4,0,0
0.01,1576127860406,4,0,0
0.006,1576127860856,4,0,0
0.0,1576127861306,4,0,0
-0.006,1576127861757,4,0,0
-0.006,1576127862206,4,0,0
-0.007,1576127862656,4,0,0
-0.005,1576127863106,4,0,0
-0.003,1576127863556,4,0,0
0.0,1576127864006,1,0,0
0.002,1576127864456,1,0,0
-0.001,1576127864906,1,0,0
-0.002,1576127865356,1,0,0
-0.002,1576127865806,1,0,0
-0.002,1576127866256,1,0,0
-0.001,1576127866706,1,0,0
0.0,1576127867156,1,0,0
0.0,1576127867606,1,0,0
0.0,1576127868056,1,0,0
0.0,1576127868506,1,0,0
-0.001,1576127868956,1,0,0
-0.002,1576127869406,1,0,0
0.0,1576127869856,1,0,0
-0.002,1576127870306,1,0,0
-0.001,1576127870756,1,0,0
0.001,1576127871206,1,0,0
-0.001,1576127871657,1,0,0
0.0,1576127872106,1,0,0
0.0,1576127872566,1,0,0
0.003,1576127873016,1,0,0
0.0,1576127873476,1,0,0
0.0,1576127873936,1,0,0
0.001,1576127874386,1,0,0
0.0,1576127874836,1,0,0
-0.002,1576127875287,1,0,0
0.0,1576127875736,1,0,0
0.001,1576127876186,1,0,0
-0.001,1576127876636,1,0,0
0.0,1576127877086,1,0,0
0.001,1576127877536,1,0,0
0.0,1576127877986,1,0,0
0.0,1576127878436,1,0,0
0.0,1576127878887,1,0,0
0.0,1576127879337,1,0,0
0.001,1576127879787,1,0,0
0.0,1576127880237,1,0,0
0.0,1576127880687,1,0,0
0.0,1576127881137,1,0,0
-0.001,1576127881587,1,0,0
0.0,1576127882037,1,0,0
-0.001,1576127882487,1,0,0
0.0,1576127882937,1,0,0
0.0,1576127883387,1,0,0
0.0,1576127883837,1,0,0
0.001,1576127884287,1,0,0
0.0,1576127884737,1,0,0
-0.001,1576127885187,1,0,0
0.001,1576127885637,1,0,0
0.0,1576127886087,1,0,0
0.0,1576127886537,1,0,0
-0.001,1576127886987,1,0,0
-0.001,1576127887437,1,0,0
0.002,1576127887887,1,0,0
0.002,1576127888337,1,0,0
-0.002,1576127888787,1,0,0
0.001,1576127889237,1,0,0
-0.001,1576127889687,1,0,0
0.0,1576127890137,1,0,0
