DT_lateralAcc,Timestamp,Action,Bump,Traffic congestion
0.0,1569385374764.0,1,0,0
0.01,1569385375237.0,1,0,0
0.01,1569385375685.0,1,0,0
0.0,1569385376144.0,1,0,0
0.01,1569385376605.0,1,0,0
0.01,1569385377064.0,1,0,0
0.0,1569385377524.0,1,0,0
0.01,1569385377984.0,1,0,0
0.0,1569385378447.0,1,0,0
0.02,1569385378905.0,1,0,0
0.04,1569385379365.0,1,0,0
0.03,1569385379835.0,1,0,0
0.02,1569385380295.0,1,0,0
0.01,1569385380755.0,1,0,0
0.0,1569385381217.0,1,0,0
-0.01,1569385381684.0,1,0,0
0.0,1569385382144.0,1,0,0
0.0,1569385382605.0,1,0,0
-0.01,1569385383066.0,1,0,0
0.0,1569385383524.0,1,0,0
-0.01,1569385383975.0,1,0,0
-0.01,1569385384435.0,1,0,0
-0.01,1569385384895.0,1,0,0
-0.01,1569385385355.0,1,0,0
-0.01,1569385385825.0,9,0,0
-0.03,1569385386299.0,9,0,0
-0.04,1569385386735.0,9,0,0
-0.07,1569385387195.0,9,0,0
-0.08,1569385387655.0,9,0,0
-0.09,1569385388115.0,9,0,0
-0.09,1569385388575.0,9,0,0
-0.08,1569385389035.0,9,0,0
-0.07,1569385389495.0,9,0,0
-0.07,1569385389956.0,9,0,0
-0.07,1569385390416.0,9,0,0
-0.07,1569385390876.0,9,0,0
-0.07,1569385391335.0,9,0,0
-0.07,1569385391796.0,9,0,0
-0.08,1569385392255.0,9,0,0
-0.08,1569385392716.0,9,0,0
-0.07,1569385393176.0,9,0,0
-0.07,1569385393645.0,9,0,0
-0.07,1569385394096.0,9,0,0
-0.06,1569385394556.0,9,0,0
-0.05,1569385395026.0,9,0,0
-0.06,1569385395485.0,9,0,0
-0.06,1569385395946.0,9,0,0
-0.06,1569385396406.0,9,0,0
-0.07,1569385396875.0,9,0,0
-0.06,1569385397335.0,9,0,0
-0.04,1569385397796.0,9,0,0
-0.03,1569385398255.0,9,0,0
-0.02,1569385398716.0,9,0,0
-0.01,1569385399176.0,1,0,0
-0.01,1569385399635.0,1,0,0
-0.01,1569385400096.0,1,0,0
-0.02,1569385400556.0,8,0,0
-0.01,1569385401072.0,8,0,0
-0.01,1569385401486.0,8,0,0
-0.02,1569385401946.0,8,0,0
0.0,1569385402406.0,8,0,0
0.0,1569385402866.0,8,0,0
0.04,1569385403326.0,8,0,0
0.04,1569385403786.0,8,0,0
0.05,1569385404246.0,8,0,0
0.04,1569385404706.0,8,0,0
0.04,1569385405166.0,8,0,0
0.05,1569385405626.0,8,0,0
0.04,1569385406096.0,8,0,0
0.07,1569385406556.0,8,0,0
0.06,1569385407016.0,8,0,0
0.08,1569385407475.0,8,0,0
0.07,1569385407935.0,8,0,0
0.06,1569385408396.0,8,0,0
0.06,1569385408856.0,8,0,0
0.05,1569385409326.0,8,0,0
0.04,1569385409786.0,8,0,0
0.04,1569385410246.0,8,0,0
0.04,1569385410696.0,8,0,0
0.08,1569385411165.0,8,0,0
0.1,1569385411626.0,8,0,0
0.09,1569385412086.0,8,0,0
0.08,1569385412546.0,8,0,0
0.07,1569385413006.0,8,0,0
0.1,1569385413466.0,8,0,0
0.09,1569385413926.0,8,0,0
0.09,1569385414394.0,8,0,0
0.08,1569385414846.0,8,0,0
0.06,1569385415305.0,8,0,0
0.04,1569385415766.0,8,0,0
0.05,1569385416232.0,8,0,0
0.06,1569385416686.0,8,0,0
0.08,1569385417156.0,8,0,0
0.09,1569385417608.0,8,0,0
0.07,1569385418066.0,8,0,0
0.07,1569385418526.0,8,0,0
0.05,1569385418986.0,8,0,0
0.04,1569385419456.0,8,0,0
0.04,1569385419916.0,8,0,0
0.07,1569385420376.0,8,0,0
0.1,1569385420836.0,8,0,0
0.13,1569385421296.0,8,0,0
0.1,1569385421756.0,8,0,0
0.09,1569385422216.0,8,0,0
0.08,1569385422676.0,8,0,0
0.05,1569385423135.0,8,0,0
0.04,1569385423610.0,8,0,0
0.03,1569385424060.0,8,0,0
0.03,1569385424516.0,8,0,0
0.03,1569385424976.0,8,0,0
0.04,1569385425436.0,8,0,0
0.03,1569385425896.0,8,0,0
0.02,1569385426356.0,8,0,0
0.03,1569385426816.0,8,0,0
0.02,1569385427276.0,8,0,0
0.02,1569385427727.0,8,0,0
0.01,1569385428186.0,1,0,0
0.0,1569385428656.0,1,0,0
0.0,1569385429118.0,1,0,0
0.01,1569385429576.0,1,0,0
0.0,1569385430036.0,1,0,0
0.0,1569385430522.0,1,0,0
-0.01,1569385430956.0,1,0,0
-0.01,1569385431416.0,1,0,0
-0.01,1569385431876.0,1,0,0
-0.01,1569385432336.0,1,0,0
0.0,1569385432796.0,1,0,0
0.0,1569385433246.0,1,0,0
0.0,1569385433716.0,1,0,0
0.01,1569385434176.0,1,0,0
0.0,1569385434636.0,1,0,0
0.0,1569385435096.0,1,0,0
0.0,1569385435557.0,1,0,0
0.0,1569385436016.0,1,0,0
-0.01,1569385436476.0,1,0,0
-0.01,1569385436936.0,1,0,0
-0.01,1569385437396.0,1,0,0
-0.01,1569385437856.0,1,0,0
-0.02,1569385438317.0,1,0,0
-0.05,1569385438776.0,1,0,0
-0.04,1569385439246.0,9,0,0
-0.04,1569385439706.0,9,0,0
-0.04,1569385440166.0,9,0,0
-0.1,1569385440626.0,9,0,0
-0.13,1569385441086.0,9,0,0
-0.14,1569385441546.0,9,0,0
-0.14,1569385442007.0,9,0,0
-0.14,1569385442466.0,9,0,0
-0.15,1569385442926.0,9,0,0
-0.09,1569385443386.0,9,0,0
-0.07,1569385443855.0,9,0,0
-0.1,1569385444315.0,9,0,0
-0.11,1569385444776.0,9,0,0
-0.15,1569385445249.0,9,0,0
-0.13,1569385445696.0,9,0,0
-0.14,1569385446156.0,9,0,0
-0.14,1569385446616.0,9,0,0
-0.13,1569385447075.0,9,0,0
-0.13,1569385447536.0,9,0,0
-0.12,1569385447996.0,9,0,0
-0.11,1569385448466.0,9,0,0
-0.07,1569385448916.0,9,0,0
-0.06,1569385449386.0,1,0,0
-0.07,1569385449846.0,1,0,0
-0.01,1569385450307.0,1,0,0
0.0,1569385450768.0,1,0,0
0.0,1569385451226.0,1,0,0
0.0,1569385451686.0,1,0,0
0.0,1569385452146.0,1,0,0
0.0,1569385452610.0,1,0,0
-0.01,1569385453065.0,1,0,0
-0.02,1569385453526.0,1,0,0
0.0,1569385453986.0,1,0,0
0.0,1569385454445.0,1,0,0
0.0,1569385454906.0,1,0,0
0.0,1569385455377.0,1,0,0
0.01,1569385455836.0,1,0,0
0.02,1569385456285.0,1,0,0
0.02,1569385456746.0,8,0,0
0.02,1569385457205.0,8,0,0
0.02,1569385457666.0,8,0,0
0.0,1569385458125.0,8,0,0
0.03,1569385458585.0,8,0,0
0.0,1569385459046.0,8,0,0
0.03,1569385459505.0,8,0,0
0.02,1569385459957.0,8,0,0
0.03,1569385460416.0,8,0,0
0.02,1569385460875.0,8,0,0
0.02,1569385461345.0,8,0,0
0.03,1569385461806.0,8,0,0
0.02,1569385462256.0,8,0,0
0.03,1569385462726.0,8,0,0
0.05,1569385463176.0,8,0,0
0.07,1569385463646.0,8,0,0
0.04,1569385464106.0,8,0,0
0.01,1569385464569.0,8,0,0
0.01,1569385465026.0,8,0,0
0.01,1569385465486.0,8,0,0
0.02,1569385465946.0,8,0,0
-0.01,1569385466410.0,8,0,0
-0.01,1569385466876.0,8,0,0
-0.01,1569385467346.0,8,0,0
0.03,1569385467796.0,8,0,0
