accPre_data,Timestamp,Action,Bump,Traffic congestion
30.2225,1577072279118,4,0,0
30.615000000000002,1577072279568,4,0,0
30.615000000000002,1577072280058,5,0,0
30.615000000000002,1577072280508,5,0,0
30.615000000000002,1577072280998,5,0,0
30.615000000000002,1577072281448,5,0,0
30.615000000000002,1577072281938,5,0,0
30.2225,1577072282388,5,0,0
30.2225,1577072282878,5,0,0
30.615000000000002,1577072283328,5,0,0
30.615000000000002,1577072283818,5,0,0
28.26,1577072284268,5,0,0
14.5225,1577072284758,5,0,0
14.5225,1577072285208,5,0,0
14.5225,1577072285698,5,0,0
14.5225,1577072286148,5,0,0
14.5225,1577072286638,5,0,0
14.5225,1577072287088,1,0,0
14.5225,1577072287578,1,0,0
29.4375,1577072288028,1,0,0
30.615000000000002,1577072288517,1,0,0
30.615000000000002,1577072288968,1,0,0
30.615000000000002,1577072289458,1,0,0
30.615000000000002,1577072289918,4,0,0
30.615000000000002,1577072290408,4,0,0
30.2225,1577072290857,4,0,0
29.4375,1577072291347,4,0,0
27.8675,1577072291797,4,0,0
26.2975,1577072292287,4,0,0
25.905,1577072292737,4,0,0
17.27,1577072293227,4,0,0
14.5225,1577072293677,4,0,0
14.5225,1577072294177,4,0,0
14.5225,1577072294627,4,0,0
14.5225,1577072295117,4,0,0
14.5225,1577072295577,1,0,0
14.5225,1577072296078,1,0,0
14.5225,1577072296527,1,0,0
14.5225,1577072297017,1,0,0
14.5225,1577072297467,1,0,0
14.5225,1577072297957,1,0,0
14.5225,1577072298407,1,0,0
14.5225,1577072298897,1,0,0
14.5225,1577072299347,1,0,0
14.5225,1577072299837,1,0,0
14.5225,1577072300287,3,0,0
14.5225,1577072300777,3,0,0
14.5225,1577072301227,3,0,0
14.5225,1577072301717,3,0,0
14.5225,1577072302167,3,0,0
15.700000000000001,1577072302657,3,0,0
15.700000000000001,1577072303107,3,0,0
16.0925,1577072303597,3,0,0
16.485,1577072304048,3,0,0
16.485,1577072304537,3,0,0
16.485,1577072304987,3,0,0
16.8775,1577072305477,3,0,0
16.485,1577072305927,3,0,0
16.0925,1577072306417,3,0,0
14.5225,1577072306867,3,0,0
14.5225,1577072307357,3,0,0
14.5225,1577072307797,3,0,0
14.5225,1577072308287,3,0,0
14.5225,1577072308737,3,0,0
14.5225,1577072309227,0,0,0
14.5225,1577072309677,0,0,0
14.5225,1577072310167,0,0,0
14.5225,1577072310618,0,0,0
14.5225,1577072311117,10,0,0
14.5225,1577072311567,10,0,0
14.5225,1577072312057,10,0,0
14.5225,1577072312507,10,0,0
14.5225,1577072312997,10,0,0
14.5225,1577072313447,10,0,0
14.5225,1577072313947,10,0,0
14.5225,1577072314397,10,0,0
14.5225,1577072314897,10,0,0
14.5225,1577072315347,10,0,0
14.5225,1577072315837,10,0,0
15.700000000000001,1577072316287,10,0,0
18.4475,1577072316777,10,0,0
22.372500000000002,1577072317227,10,0,0
28.6525,1577072317727,10,0,0
19.2325,1577072318177,10,0,0
14.5225,1577072318667,10,0,0
14.5225,1577072319117,10,0,0
14.5225,1577072319607,10,0,0
14.5225,1577072320057,0,0,0
14.5225,1577072320548,0,0,0
14.5225,1577072320998,0,0,0
14.5225,1577072321488,0,0,0
14.5225,1577072321937,0,0,0
14.5225,1577072322428,0,0,0
14.5225,1577072322878,0,0,0
14.5225,1577072323368,0,0,0
14.5225,1577072323817,0,0,0
14.5225,1577072324307,0,0,0
14.5225,1577072324757,0,0,0
14.5225,1577072325247,0,0,0
14.5225,1577072325697,0,0,0
14.5225,1577072326197,3,0,0
14.5225,1577072326657,3,0,0
