rpm_data,Timestamp,Action,Bump,Traffic congestion
1136.0,1576135031303,8,0,0
1088.0,1576135031753,8,0,0
1019.5,1576135032202,8,0,0
981.0,1576135032652,8,0,0
937.0,1576135033103,8,0,0
941.0,1576135033552,8,0,0
1183.5,1576135034002,8,0,0
1765.0,1576135034453,8,0,0
1843.0,1576135034902,8,0,0
1862.0,1576135035353,8,0,0
1858.0,1576135035802,8,0,0
1723.0,1576135036253,8,0,0
1628.0,1576135036702,8,0,0
1453.5,1576135037153,8,0,0
1226.5,1576135037602,8,0,0
1184.0,1576135038052,8,0,0
1143.5,1576135038503,8,0,0
1088.5,1576135038952,8,0,0
1080.5,1576135039402,8,0,0
1328.5,1576135039852,8,0,0
1420.5,1576135040302,4,0,0
1448.0,1576135040752,4,0,0
1356.0,1576135041203,4,0,0
1238.5,1576135041653,4,0,0
1162.0,1576135042103,4,0,0
1177.5,1576135042553,4,0,0
1451.0,1576135043003,4,0,0
1500.0,1576135043453,4,0,0
1445.0,1576135043902,4,0,0
1348.5,1576135044353,4,0,0
1400.0,1576135044823,4,0,0
1490.0,1576135045273,4,0,0
1524.5,1576135045723,4,0,0
1547.5,1576135046173,4,0,0
1413.5,1576135046623,4,0,0
1444.0,1576135047073,4,0,0
1582.0,1576135047523,4,0,0
1647.5,1576135047973,4,0,0
1716.0,1576135048423,4,0,0
1565.5,1576135048873,4,0,0
1483.0,1576135049323,4,0,0
1451.5,1576135049773,4,0,0
1245.0,1576135050223,4,0,0
1154.5,1576135050673,5,0,0
1087.5,1576135051123,5,0,0
1023.0,1576135051573,5,0,0
955.0,1576135052023,5,0,0
917.0,1576135052473,5,0,0
888.0,1576135052923,5,0,0
874.0,1576135053373,5,0,0
892.5,1576135053823,5,0,0
1278.5,1576135054273,5,0,0
1805.5,1576135054723,5,0,0
2013.5,1576135055173,5,0,0
1994.5,1576135055623,5,0,0
1910.5,1576135056073,5,0,0
1751.5,1576135056523,5,0,0
1594.0,1576135056973,5,0,0
1215.0,1576135057423,5,0,0
1254.5,1576135057873,5,0,0
1110.5,1576135058323,5,0,0
1059.5,1576135058773,5,0,0
1005.5,1576135059223,5,0,0
965.0,1576135059673,5,0,0
936.0,1576135060123,5,0,0
923.5,1576135060573,5,0,0
874.5,1576135061023,5,0,0
927.5,1576135061473,1,0,0
1096.5,1576135061923,1,0,0
1329.5,1576135062373,1,0,0
1345.0,1576135062823,1,0,0
1260.5,1576135063273,1,0,0
1196.5,1576135063723,1,0,0
1117.5,1576135064173,1,0,0
1021.5,1576135064623,1,0,0
973.5,1576135065083,1,0,0
981.0,1576135065533,1,0,0
1172.0,1576135065983,1,0,0
1064.5,1576135066432,1,0,0
1004.5,1576135066883,1,0,0
957.0,1576135067333,1,0,0
815.0,1576135067782,1,0,0
888.0,1576135068243,1,0,0
876.5,1576135068693,1,0,0
872.0,1576135069143,1,0,0
985.0,1576135069593,1,0,0
1114.5,1576135070043,1,0,0
1152.0,1576135070493,1,0,0
1172.5,1576135070943,1,0,0
1066.5,1576135071393,1,0,0
1014.0,1576135071843,1,0,0
930.0,1576135072293,1,0,0
837.5,1576135072743,1,0,0
876.5,1576135073193,1,0,0
873.5,1576135073643,1,0,0
876.5,1576135074093,1,0,0
861.5,1576135074553,1,0,0
859.0,1576135075003,1,0,0
845.5,1576135075453,1,0,0
903.0,1576135075903,1,0,0
1112.5,1576135076353,1,0,0
1089.5,1576135076803,-1,0,0
1101.5,1576135077253,-1,0,0
1367.5,1576135077703,-1,0,0
1477.0,1576135078153,-1,0,0
1568.0,1576135078603,-1,0,0
1838.0,1576135079053,-1,0,0
2060.5,1576135079503,-1,0,0
2181.0,1576135079953,-1,0,0
1873.5,1576135080403,-1,0,0
1545.5,1576135080853,-1,0,0
1525.0,1576135081303,-1,0,0
1559.5,1576135081753,-1,0,0
1689.5,1576135082203,-1,0,0
1775.0,1576135082653,-1,0,0
1845.0,1576135083103,-1,0,0
1910.5,1576135083553,-1,0,0
1851.0,1576135084003,-1,0,0
1826.5,1576135084453,-1,0,0
1862.5,1576135084903,-1,0,0
1962.0,1576135085353,-1,0,0
2070.0,1576135085803,-1,0,0
2119.5,1576135086253,-1,0,0
2099.0,1576135086703,-1,0,0
2050.5,1576135087153,-1,0,0
1872.5,1576135087603,-1,0,0
1721.0,1576135088043,-1,0,0
1552.5,1576135088493,-1,0,0
1502.5,1576135088943,-1,0,0
1482.0,1576135089393,-1,0,0
1470.0,1576135089843,-1,0,0
1420.0,1576135090293,-1,0,0
1291.5,1576135090743,-1,0,0
1538.0,1576135091193,-1,0,0
1629.0,1576135091643,3,0,0
1636.0,1576135092093,3,0,0
1500.5,1576135092543,3,0,0
1371.0,1576135092993,3,0,0
1285.5,1576135093443,3,0,0
1280.5,1576135093893,3,0,0
1411.5,1576135094343,3,0,0
1476.0,1576135094793,3,0,0
1455.0,1576135095243,3,0,0
1435.0,1576135095693,3,0,0
1413.0,1576135096153,3,0,0
1388.5,1576135096603,3,0,0
1411.0,1576135097053,3,0,0
1569.0,1576135097503,3,0,0
1645.0,1576135097953,3,0,0
1486.0,1576135098403,1,0,0
1388.0,1576135098853,1,0,0
1330.5,1576135099303,1,0,0
1376.5,1576135099753,1,0,0
1354.0,1576135100203,1,0,0
1257.5,1576135100653,1,0,0
1194.5,1576135101103,1,0,0
1092.0,1576135101553,1,0,0
889.5,1576135102003,1,0,0
941.0,1576135102453,1,0,0
916.0,1576135102903,1,0,0
891.5,1576135103353,1,0,0
856.5,1576135103803,1,0,0
852.0,1576135104253,0,0,0
830.5,1576135104703,0,0,0
804.5,1576135105153,0,0,0
792.5,1576135105603,0,0,0
781.5,1576135106053,0,0,0
768.5,1576135106503,0,0,0
770.5,1576135106953,0,0,0
750.0,1576135107403,0,0,0
743.5,1576135107853,0,0,0
743.5,1576135108303,0,0,0
734.0,1576135108753,0,0,0
721.5,1576135109203,0,0,0
710.0,1576135109653,0,0,0
718.0,1576135110104,0,0,0
712.0,1576135110553,0,0,0
710.5,1576135111003,0,0,0
713.0,1576135111453,0,0,0
703.0,1576135111903,0,0,0
709.5,1576135112353,0,0,0
705.0,1576135112803,0,0,0
710.5,1576135113253,0,0,0
698.5,1576135113703,0,0,0
707.5,1576135114153,0,0,0
701.5,1576135114603,0,0,0
696.5,1576135115053,0,0,0
711.0,1576135115503,0,0,0
699.0,1576135115953,0,0,0
707.0,1576135116403,0,0,0
699.0,1576135116853,0,0,0
698.5,1576135117303,0,0,0
698.0,1576135117753,0,0,0
698.0,1576135118203,0,0,0
701.5,1576135118653,0,0,0
697.0,1576135119103,0,0,0
699.5,1576135119553,0,0,0
701.5,1576135120003,0,0,0
701.0,1576135120453,0,0,0
698.5,1576135120903,0,0,0
696.0,1576135121353,3,0,0
595.5,1576135121803,3,0,0
1092.0,1576135122253,3,0,0
