acceleration_data,Timestamp,Action,Bump,Traffic congestion
-0.028,1577001586256,1,0,0
-0.018000000000000002,1577001586746,1,0,0
-0.015,1577001587196,1,0,0
0.003,1577001587686,1,0,0
-0.115,1577001588136,1,0,0
-0.10300000000000001,1577001588626,1,0,0
0.017,1577001589066,1,0,0
0.006,1577001589556,1,0,0
0.038,1577001589996,1,0,0
0.133,1577001590486,1,0,0
0.097,1577001590925,1,0,0
0.107,1577001591416,1,0,0
0.147,1577001591856,1,0,0
0.111,1577001592345,1,0,0
0.14,1577001592785,1,0,0
0.121,1577001593276,1,0,0
0.136,1577001593716,1,0,0
0.19,1577001594205,1,0,0
0.194,1577001594645,1,0,0
0.177,1577001595136,1,0,0
0.194,1577001595576,1,0,0
0.187,1577001596065,1,0,0
0.20800000000000002,1577001596505,1,0,0
0.214,1577001596996,1,0,0
0.179,1577001597436,1,0,0
0.223,1577001597925,1,0,0
0.257,1577001598396,1,0,0
0.244,1577001598896,1,0,0
0.312,1577001599336,1,0,0
0.276,1577001599836,1,0,0
0.084,1577001600285,1,0,0
-0.181,1577001600776,1,0,0
-0.132,1577001601216,1,0,0
-0.039,1577001601705,1,0,0
-0.042,1577001602156,1,0,0
0.015,1577001602665,1,0,0
0.036000000000000004,1577001603116,1,0,0
0.052000000000000005,1577001603605,1,0,0
-0.01,1577001604045,1,0,0
-0.147,1577001604536,1,0,0
-0.27,1577001604975,1,0,0
-0.373,1577001605475,1,0,0
-0.561,1577001605915,1,0,0
-0.384,1577001606405,1,0,0
-0.192,1577001606845,1,0,0
-0.065,1577001607336,1,0,0
0.049,1577001607775,1,0,0
-0.065,1577001608265,1,0,0
-0.088,1577001608715,1,0,0
-0.136,1577001609205,1,0,0
-0.092,1577001609645,1,0,0
-0.085,1577001610136,1,0,0
-0.07200000000000001,1577001610575,1,0,0
0.125,1577001611065,1,0,0
0.077,1577001611515,1,0,0
0.044,1577001612005,1,0,0
-0.101,1577001612455,1,0,0
-0.10200000000000001,1577001612945,1,0,0
-0.16,1577001613385,1,0,0
-0.262,1577001613875,5,0,0
-0.79,1577001614315,5,0,0
-1.706,1577001614805,5,0,0
-1.54,1577001615245,5,0,0
-1.01,1577001615735,5,0,0
-0.6,1577001616175,5,0,0
-0.41400000000000003,1577001616675,5,0,0
-0.423,1577001617115,5,0,0
-0.057,1577001617605,5,0,0
0.448,1577001618045,5,0,0
0.368,1577001618535,5,0,0
0.20700000000000002,1577001618975,5,0,0
0.164,1577001619465,5,0,0
0.089,1577001619915,1,0,0
0.05,1577001620405,1,0,0
0.004,1577001620855,1,0,0
-0.045,1577001621345,1,0,0
0.012,1577001621785,1,0,0
-0.035,1577001622275,1,0,0
0.017,1577001622725,1,0,0
-0.024,1577001623215,1,0,0
-0.031,1577001623655,1,0,0
-0.185,1577001624145,1,0,0
-0.264,1577001624585,1,0,0
-0.357,1577001625085,1,0,0
-0.40900000000000003,1577001625535,1,0,0
-1.127,1577001626025,3,0,0
-1.723,1577001626465,3,0,0
-1.389,1577001626955,3,0,0
-1.053,1577001627395,3,0,0
-0.899,1577001627885,3,0,0
-0.577,1577001628325,3,0,0
0.061,1577001628815,3,0,0
0.669,1577001629255,3,0,0
0.443,1577001629745,3,0,0
0.157,1577001630185,3,0,0
