DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569398108120.0,-1,0,0
0.0,1569398108581.0,-1,0,0
0.0,1569398109040.0,-1,0,0
0.0,1569398109501.0,-1,0,0
0.0,1569398109980.0,-1,0,0
0.0,1569398110422.0,-1,0,0
0.0,1569398110880.0,-1,0,0
0.0,1569398111341.0,-1,0,0
0.0,1569398111801.0,-1,0,0
0.0,1569398112261.0,-1,0,0
0.0,1569398112721.0,-1,0,0
0.0,1569398113180.0,-1,0,0
0.0,1569398113641.0,-1,0,0
0.0,1569398114100.0,2,0,0
0.0,1569398114561.0,2,0,0
0.0,1569398115020.0,2,0,0
0.0,1569398115481.0,2,0,0
0.0,1569398115941.0,2,0,0
0.0,1569398116401.0,2,0,0
0.0,1569398116871.0,2,0,0
0.0,1569398117322.0,2,0,0
0.0,1569398117791.0,3,0,0
0.0,1569398118250.0,3,0,0
0.0,1569398118710.0,3,0,0
0.0,1569398119171.0,3,0,0
0.0,1569398119631.0,3,0,0
0.0,1569398120090.0,3,0,0
0.0,1569398120551.0,3,0,0
0.0,1569398121019.0,3,0,0
0.0,1569398121524.0,3,0,0
0.0,1569398121931.0,3,0,0
0.0,1569398122391.0,3,0,0
0.0,1569398122851.0,3,0,0
0.0,1569398123311.0,3,0,0
0.0,1569398123771.0,3,0,0
0.0,1569398124231.0,3,0,0
0.0,1569398124690.0,3,0,0
0.0,1569398125151.0,1,0,0
0.0,1569398125612.0,1,0,0
0.0,1569398126080.0,1,0,0
0.0,1569398126541.0,1,0,0
0.0,1569398127001.0,1,0,0
0.0,1569398127460.0,1,0,0
0.0,1569398127909.0,1,0,0
0.0,1569398128371.0,1,0,0
0.0,1569398128831.0,1,0,0
0.0,1569398129291.0,1,0,0
0.0,1569398129761.0,1,0,0
0.0,1569398130220.0,1,0,0
0.0,1569398130681.0,1,0,0
0.0,1569398131140.0,1,0,0
0.0,1569398131611.0,1,0,0
0.0,1569398132082.0,1,0,0
0.0,1569398132521.0,1,0,0
0.0,1569398132991.0,1,0,0
0.0,1569398133441.0,1,0,0
0.0,1569398133901.0,1,0,0
0.0,1569398134372.0,1,0,0
0.0,1569398134831.0,3,0,0
0.0,1569398135300.0,3,0,0
0.0,1569398135761.0,3,0,0
0.0,1569398136211.0,3,0,0
0.0,1569398136671.0,3,0,0
0.0,1569398137131.0,3,0,0
0.0,1569398137591.0,3,0,0
0.0,1569398138061.0,3,0,0
0.0,1569398138521.0,3,0,0
0.0,1569398138981.0,3,0,0
0.0,1569398139438.0,3,0,0
0.0,1569398139901.0,3,0,0
0.0,1569398140361.0,3,0,0
0.0,1569398140821.0,3,0,0
0.0,1569398141280.0,3,0,0
0.0,1569398141751.0,6,0,0
0.0,1569398142210.0,6,0,0
0.0,1569398142671.0,6,0,0
0.0,1569398143130.0,6,0,0
0.0,1569398143591.0,6,0,0
0.0,1569398144061.0,6,0,0
0.0,1569398144521.0,6,0,0
0.0,1569398144981.0,6,0,0
0.0,1569398145438.0,6,0,0
0.0,1569398145890.0,6,0,0
0.0,1569398146351.0,6,0,0
0.0,1569398146821.0,6,0,0
0.0,1569398147280.0,6,0,0
0.0,1569398147731.0,6,0,0
0.0,1569398148191.0,6,0,0
0.0,1569398148651.0,6,0,0
0.0,1569398149121.0,6,0,0
0.0,1569398149581.0,6,0,0
0.0,1569398150041.0,6,0,0
0.0,1569398150501.0,6,0,0
0.0,1569398150971.0,6,0,0
0.0,1569398151438.0,6,0,0
0.0,1569398151891.0,6,0,0
0.0,1569398152351.0,6,0,0
0.0,1569398152801.0,6,0,0
0.0,1569398153271.0,6,0,0
0.0,1569398153721.0,6,0,0
0.0,1569398154181.0,6,0,0
0.0,1569398154641.0,6,0,0
0.0,1569398155111.0,6,0,0
0.0,1569398155571.0,6,0,0
0.0,1569398156031.0,6,0,0
0.0,1569398156491.0,-1,0,0
0.0,1569398156951.0,-1,0,0
0.0,1569398157401.0,-1,0,0
0.0,1569398157861.0,-1,0,0
0.0,1569398158321.0,-1,0,0
0.0,1569398158781.0,-1,0,0
0.0,1569398159241.0,-1,0,0
0.0,1569398159701.0,-1,0,0
0.0,1569398160161.0,-1,0,0
0.0,1569398160632.0,-1,0,0
0.0,1569398161081.0,-1,0,0
0.0,1569398161541.0,-1,0,0
0.0,1569398162001.0,-1,0,0
0.0,1569398162461.0,-1,0,0
0.0,1569398162921.0,-1,0,0
0.0,1569398163381.0,-1,0,0
0.0,1569398163841.0,-1,0,0
0.0,1569398164301.0,-1,0,0
0.0,1569398164761.0,-1,0,0
0.0,1569398165221.0,-1,0,0
0.0,1569398165681.0,-1,0,0
0.0,1569398166151.0,-1,0,0
0.0,1569398166611.0,-1,0,0
0.0,1569398167071.0,-1,0,0
0.0,1569398167520.0,-1,0,0
0.0,1569398167990.0,-1,0,0
0.0,1569398168451.0,-1,0,0
0.0,1569398168911.0,-1,0,0
0.0,1569398169371.0,-1,0,0
0.0,1569398169834.0,-1,0,0
0.0,1569398170291.0,-1,0,0
0.0,1569398170751.0,-1,0,0
0.0,1569398171211.0,-1,0,0
0.0,1569398171681.0,-1,0,0
0.0,1569398172171.0,-1,0,0
0.0,1569398172601.0,-1,0,0
0.0,1569398173061.0,-1,0,0
0.0,1569398173521.0,-1,0,0
0.0,1569398173981.0,-1,0,0
0.0,1569398174441.0,-1,0,0
0.0,1569398174901.0,-1,0,0
0.0,1569398175361.0,-1,0,0
0.0,1569398175831.0,-1,0,0
0.0,1569398176291.0,-1,0,0
0.0,1569398176741.0,-1,0,0
0.0,1569398177211.0,2,0,0
0.0,1569398177671.0,2,0,0
0.0,1569398178131.0,2,0,0
0.0,1569398178581.0,2,0,0
0.0,1569398179041.0,2,0,0
0.0,1569398179511.0,2,0,0
0.0,1569398179971.0,2,0,0
0.0,1569398180439.0,2,0,0
0.0,1569398180890.0,2,0,0
0.0,1569398181351.0,2,0,0
0.0,1569398181811.0,2,0,0
0.0,1569398182270.0,3,0,0
0.0,1569398182731.0,3,0,0
0.0,1569398183191.0,3,0,0
0.0,1569398183651.0,3,0,0
0.0,1569398184111.0,3,0,0
0.0,1569398184571.0,3,0,0
0.0,1569398185031.0,3,0,0
0.0,1569398185491.0,1,0,0
0.0,1569398185951.0,1,0,0
0.0,1569398186411.0,1,0,0
0.0,1569398186871.0,1,0,0
0.0,1569398187331.0,1,0,0
0.0,1569398187791.0,1,0,0
0.0,1569398188241.0,1,0,0
0.0,1569398188711.0,1,0,0
0.0,1569398189171.0,1,0,0
0.0,1569398189631.0,1,0,0
0.0,1569398190091.0,3,0,0
0.0,1569398190551.0,3,0,0
0.0,1569398191011.0,3,0,0
0.0,1569398191471.0,3,0,0
