DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
870.5,1569321033817.0,1,0,0
876.0,1569321034267.0,1,0,0
861.0,1569321034737.0,1,0,0
841.5,1569321035197.0,1,0,0
827.0,1569321035657.0,1,0,0
818.5,1569321036117.0,1,0,0
811.0,1569321036577.0,1,0,0
810.5,1569321037047.0,1,0,0
905.0,1569321037507.0,1,0,0
1245.5,1569321037966.0,1,0,0
1436.5,1569321038447.0,3,0,0
1524.5,1569321038886.0,3,0,0
1516.0,1569321039347.0,3,0,0
1498.5,1569321039807.0,3,0,0
1472.5,1569321040277.0,3,0,0
1428.5,1569321040737.0,3,0,0
1434.0,1569321041197.0,3,0,0
1464.5,1569321041666.0,3,0,0
1486.0,1569321042128.0,3,0,0
1537.5,1569321042587.0,3,0,0
1562.5,1569321043047.0,3,0,0
1554.0,1569321043507.0,3,0,0
1507.0,1569321043967.0,3,0,0
1483.0,1569321044427.0,3,0,0
1485.0,1569321044887.0,3,0,0
1561.5,1569321045346.0,3,0,0
1798.5,1569321045807.0,1,0,0
1823.5,1569321046267.0,1,0,0
1777.5,1569321046727.0,1,0,0
1740.5,1569321047187.0,1,0,0
1727.5,1569321047647.0,1,0,0
1668.0,1569321048107.0,1,0,0
1384.5,1569321048567.0,1,0,0
1250.5,1569321049037.0,1,0,0
1159.5,1569321049497.0,6,0,0
1096.5,1569321049957.0,6,0,0
1031.0,1569321050417.0,6,0,0
991.5,1569321050877.0,6,0,0
993.0,1569321051337.0,6,0,0
1416.5,1569321051797.0,6,0,0
1573.5,1569321052247.0,6,0,0
1644.5,1569321052710.0,6,0,0
1740.0,1569321053167.0,6,0,0
1814.5,1569321053627.0,6,0,0
1867.0,1569321054097.0,6,0,0
1921.5,1569321054557.0,6,0,0
1916.0,1569321055007.0,6,0,0
1666.5,1569321055477.0,6,0,0
1261.0,1569321055947.0,6,0,0
1221.0,1569321056437.0,6,0,0
1209.5,1569321056867.0,6,0,0
1211.5,1569321057337.0,6,0,0
1229.0,1569321057787.0,1,0,0
1241.5,1569321058257.0,1,0,0
1257.0,1569321058716.0,1,0,0
1275.5,1569321059179.0,1,0,0
1264.5,1569321059659.0,1,0,0
1188.0,1569321060087.0,1,0,0
1177.5,1569321060547.0,2,0,0
1080.0,1569321061007.0,2,0,0
1029.0,1569321061477.0,2,0,0
979.0,1569321061927.0,2,0,0
932.5,1569321062387.0,2,0,0
916.0,1569321062857.0,2,0,0
882.0,1569321063317.0,2,0,0
867.5,1569321063777.0,2,0,0
872.0,1569321064237.0,2,0,0
858.0,1569321064703.0,2,0,0
960.5,1569321065157.0,2,0,0
1226.5,1569321065617.0,2,0,0
1274.0,1569321066077.0,2,0,0
1300.0,1569321066536.0,2,0,0
1350.0,1569321066997.0,2,0,0
1387.0,1569321067457.0,2,0,0
1399.0,1569321067917.0,2,0,0
1378.5,1569321068377.0,2,0,0
1399.0,1569321068837.0,1,0,0
1381.0,1569321069297.0,1,0,0
1356.0,1569321069767.0,1,0,0
1344.0,1569321070241.0,1,0,0
1337.5,1569321070677.0,1,0,0
1337.0,1569321071146.0,1,0,0
1349.5,1569321071616.0,1,0,0
1357.0,1569321072077.0,1,0,0
1350.5,1569321072536.0,5,0,0
1184.5,1569321073007.0,5,0,0
1106.0,1569321073467.0,5,0,0
1055.5,1569321073927.0,5,0,0
978.5,1569321074397.0,5,0,0
949.5,1569321074847.0,5,0,0
924.0,1569321075307.0,5,0,0
1027.0,1569321075777.0,5,0,0
1166.5,1569321076237.0,5,0,0
1245.0,1569321076702.0,5,0,0
1272.0,1569321077167.0,5,0,0
1267.0,1569321077657.0,5,0,0
1277.5,1569321078087.0,5,0,0
1281.0,1569321078547.0,5,0,0
1209.5,1569321078997.0,1,0,0
1168.5,1569321079457.0,1,0,0
1202.0,1569321079917.0,1,0,0
