speed_data,Timestamp,Action,Bump,Traffic congestion
9,1576223669096,4,0,0
11,1576223669547,4,0,0
13,1576223669996,4,0,0
15,1576223670447,4,0,0
16,1576223670897,4,0,0
17,1576223671347,4,0,0
19,1576223671797,4,0,0
20,1576223672247,4,0,0
21,1576223672697,4,0,0
21,1576223673146,1,0,0
22,1576223673597,1,0,0
23,1576223674046,1,0,0
24,1576223674497,1,0,0
24,1576223674946,1,0,0
24,1576223675397,1,0,0
24,1576223675847,1,0,0
25,1576223676297,1,0,0
25,1576223676747,1,0,0
24,1576223677196,1,0,0
24,1576223677646,1,0,0
24,1576223678097,1,0,0
25,1576223678546,1,0,0
25,1576223678996,1,0,0
25,1576223679446,1,0,0
25,1576223679896,1,0,0
26,1576223680346,1,0,0
26,1576223680796,1,0,0
26,1576223681246,1,0,0
27,1576223681696,1,0,0
27,1576223682147,1,0,0
27,1576223682596,1,0,0
28,1576223683046,1,0,0
27,1576223683496,1,0,0
27,1576223683916,1,0,0
27,1576223684366,1,0,0
27,1576223684816,1,0,0
27,1576223685267,1,0,0
27,1576223685716,1,0,0
27,1576223686166,1,0,0
27,1576223686616,1,0,0
27,1576223687066,1,0,0
26,1576223687516,1,0,0
26,1576223687966,1,0,0
25,1576223688416,1,0,0
23,1576223688866,1,0,0
22,1576223689316,1,0,0
22,1576223689766,1,0,0
21,1576223690216,1,0,0
20,1576223690666,1,0,0
20,1576223691116,1,0,0
21,1576223691566,1,0,0
22,1576223692016,1,0,0
22,1576223692466,1,0,0
21,1576223692916,-1,0,0
21,1576223693366,-1,0,0
22,1576223693816,-1,0,0
22,1576223694266,-1,0,0
22,1576223694716,-1,0,0
22,1576223695166,-1,0,0
22,1576223695616,-1,0,0
23,1576223696066,-1,0,0
24,1576223696516,-1,0,0
25,1576223696966,-1,0,0
26,1576223697417,-1,0,0
27,1576223697866,-1,0,0
27,1576223698316,-1,0,0
28,1576223698766,-1,0,0
28,1576223699216,1,0,0
28,1576223699666,1,0,0
29,1576223700116,1,0,0
29,1576223700566,1,0,0
30,1576223701016,1,0,0
30,1576223701466,1,0,0
30,1576223701916,1,0,0
31,1576223702366,1,0,0
31,1576223702816,1,0,0
30,1576223703266,1,0,0
30,1576223703706,1,0,0
30,1576223704146,1,0,0
30,1576223704586,1,0,0
30,1576223705026,1,0,0
30,1576223705466,1,0,0
30,1576223705906,1,0,0
30,1576223706346,1,0,0
30,1576223706786,1,0,0
30,1576223707226,1,0,0
30,1576223707666,1,0,0
30,1576223708106,1,0,0
30,1576223708546,1,0,0
30,1576223708986,1,0,0
29,1576223709426,1,0,0
30,1576223709876,1,0,0
30,1576223710316,1,0,0
29,1576223710756,1,0,0
29,1576223711196,1,0,0
29,1576223711636,1,0,0
29,1576223712076,1,0,0
29,1576223712516,1,0,0
29,1576223712966,1,0,0
28,1576223713406,1,0,0
28,1576223713857,1,0,0
28,1576223714296,1,0,0
28,1576223714736,8,0,0
28,1576223715186,8,0,0
28,1576223715626,8,0,0
28,1576223716076,8,0,0
27,1576223716516,8,0,0
27,1576223716956,8,0,0
27,1576223717396,8,0,0
27,1576223717846,8,0,0
26,1576223718286,8,0,0
26,1576223718736,8,0,0
26,1576223719176,8,0,0
27,1576223719616,8,0,0
27,1576223720056,8,0,0
27,1576223720496,8,0,0
28,1576223720936,8,0,0
29,1576223721376,8,0,0
29,1576223721826,8,0,0
29,1576223722266,8,0,0
30,1576223722716,8,0,0
30,1576223723156,8,0,0
30,1576223723606,8,0,0
29,1576223724056,8,0,0
29,1576223724506,8,0,0
28,1576223724956,8,0,0
28,1576223725406,8,0,0
28,1576223725856,8,0,0
27,1576223726306,8,0,0
27,1576223726756,8,0,0
27,1576223727206,8,0,0
27,1576223727656,8,0,0
27,1576223728106,8,0,0
27,1576223728556,8,0,0
27,1576223729006,8,0,0
26,1576223729456,8,0,0
25,1576223729906,8,0,0
24,1576223730366,8,0,0
23,1576223730816,8,0,0
23,1576223731266,8,0,0
23,1576223731716,8,0,0
22,1576223732166,8,0,0
21,1576223732616,8,0,0
21,1576223733066,8,0,0
21,1576223733516,8,0,0
21,1576223733966,8,0,0
22,1576223734416,8,0,0
22,1576223734866,8,0,0
22,1576223735316,8,0,0
23,1576223735766,8,0,0
23,1576223736216,8,0,0
23,1576223736666,-1,0,0
