X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Gyroscope,Y-axis Gyroscope,Z-axis Gyroscope, Timestamp,Action,BUMP,Traffic congestion
-0.155623, -0.248996, 8.664615, -3.787364, 1.535889, -2.234021, 1576140341869,0,0,0
-0.23942, -0.323217, 8.729259, -3.001966, 0.366519, -2.268928, 1576140341922,0,0,0
-0.217872, -0.28491, 8.631097, -2.827433, -0.802851, -1.692969, 1576140341974,0,0,0
-0.107739, -0.26815, 8.480262, -3.490658, 1.16937, -2.268928, 1576140342027,0,0,0
-0.234631, -0.337582, 8.616731, -3.630284, 0.680678, -2.146754, 1576140342079,0,0,0
-0.143652, -0.289698, 8.645462, -2.687807, -1.466076, -1.937315, 1576140342131,0,0,0
-0.086191, -0.179565, 8.386888, -3.106686, 0.139626, -2.042035, 1576140342184,0,0,0
-0.299275, -0.328005, 8.729259, -3.368485, 1.483529, -2.251474, 1576140342236,0,0,0
-0.215478, -0.318428, 8.686163, -3.176499, -0.349065, -2.408554, 1576140342289,0,0,0
-0.093373, -0.232237, 8.487445, -3.543018, 0.279252, -2.164208, 1576140342341,0,0,0
-0.129286, -0.335188, 8.595184, -3.787364, 1.780235, -2.338741, 1576140342394,0,0,0
-0.220266, -0.292092, 8.731653, -2.80998, -0.925024, -2.146754, 1576140342446,0,0,0
-0.055066, -0.198718, 8.585607, -3.106686, -0.750491, -2.617993, 1576140342498,0,0,0
0.019153, -0.260967, 8.53054, -3.543018, 1.588249, -2.268928, 1576140342551,0,0,0
-0.275333, -0.241814, 8.705317, -3.001966, -0.366519, -1.937315, 1576140342603,0,0,0
-0.071826, -0.31364, 8.631097, -2.897246, -1.06465, -2.460914, 1576140342655,0,0,0
-0.105344, -0.308852, 8.513781, -3.787364, 1.745329, -2.076941, 1576140342709,0,0,0
-0.217872, -0.344765, 8.681375, -3.001966, 1.029744, -1.780235, 1576140342761,0,0,0
-0.083797, -0.260967, 8.48505, -2.670353, -0.872664, -2.216568, 1576140342814,0,0,0
-0.064643, -0.270544, 8.520963, -3.525565, 1.06465, -2.286381, 1576140342866,0,0,0
-0.167594, -0.220266, 8.597578, -3.735004, 0.471238, -2.216568, 1576140342918,0,0,0
-0.174776, -0.301669, 8.616731, -3.019419, -0.628318, -2.042035, 1576140342970,0,0,0
-0.126892, -0.263362, 8.465897, -3.403392, -0.069813, -2.111848, 1576140343023,0,0,0
-0.150834, -0.208295, 8.652644, -3.647738, 0.802851, -2.513274, 1576140343075,0,0,0
-0.241814, -0.335188, 8.652644, -3.176499, -0.331612, -1.832595, 1576140343127,0,0,0
-0.083797, -0.26815, 8.279149, -2.967059, -0.069813, -2.059488, 1576140343179,0,0,0
-0.19393, -0.179565, 8.602366, -3.857177, 0.750491, -2.146754, 1576140343232,0,0,0
-0.191536, -0.320823, 8.710105, -2.879793, -0.331612, -1.902408, 1576140343285,0,0,0
-0.083797, -0.234631, 8.504204, -3.001966, -0.418879, -2.059488, 1576140343337,0,0,0
-0.107739, -0.244208, 8.497021, -3.752457, 0.383972, -2.635447, 1576140343389,0,0,0
-0.275333, -0.395043, 8.750807, -3.298672, 0.226892, -2.408554, 1576140343442,0,0,0
-0.131681, -0.227449, 8.640673, -2.775073, -1.256637, -2.268928, 1576140343494,0,0,0
-0.045489, -0.299275, 8.535329, -3.612831, 0.802851, -2.321287, 1576140343546,0,0,0
-0.205901, -0.308852, 8.784326, -3.490658, 1.448623, -2.111848, 1576140343598,0,0,0
-0.234631, -0.201112, 8.836998, -2.775073, -1.239183, -1.553343, 1576140343651,0,0,0
-0.107739, -0.294486, 8.432378, -3.228859, -0.593411, -2.356194, 1576140343703,0,0,0
-0.110133, -0.323217, 8.542511, -3.944444, 1.029744, -2.164208, 1576140343756,0,0,0
-0.215478, -0.232237, 8.738836, -2.914699, -0.575958, -2.164208, 1576140343808,0,0,0
-0.124498, -0.227449, 8.482656, -3.001966, -1.047197, -2.129301, 1576140343860,0,0,0
-0.167594, -0.31364, 8.549694, -3.612831, 0.820304, -1.710422, 1576140343913,0,0,0
-0.234631, -0.272938, 8.762778, -3.054326, -0.069813, -2.530727, 1576140343965,0,0,0
-0.136469, -0.294486, 8.726865, -2.844886, -0.942477, -2.199114, 1576140344018,0,0,0
-0.131681, -0.28491, 8.50181, -3.822271, 1.553343, -2.426007, 1576140344070,0,0,0
-0.301669, -0.332794, 8.72447, -3.612831, 0.436332, -1.815142, 1576140344122,0,0,0
-0.141257, -0.26815, 8.554482, -2.75762, -0.837758, -2.251474, 1576140344175,0,0,0
-0.083797, -0.251391, 8.535329, -3.595378, 0.837758, -2.234021, 1576140344227,0,0,0
-0.210689, -0.289698, 8.69574, -3.560471, 0.209439, -1.989675, 1576140344279,0,0,0
-0.205901, -0.311246, 8.700528, -3.001966, -0.959931, -2.042035, 1576140344332,0,0,0
-0.071826, -0.287304, 8.449137, -2.932153, -0.733038, -2.042035, 1576140344384,0,0,0
-0.162805, -0.287304, 8.681375, -3.735004, 1.291543, -1.919862, 1576140344436,0,0,0
-0.265756, -0.349553, 8.74123, -2.879793, 0.157079, -2.199114, 1576140344489,0,0,0
-0.136469, -0.237025, 8.573636, -3.159045, -0.802851, -2.199114, 1576140344541,0,0,0
-0.059855, -0.272938, 8.655039, -3.298672, 1.047197, -2.199114, 1576140344593,0,0,0
-0.23942, -0.320823, 8.722076, -3.036872, -0.488692, -2.076941, 1576140344646,0,0,0
-0.100556, -0.203507, 8.62152, -2.60054, -0.750491, -1.762782, 1576140344698,0,0,0
-0.107739, -0.241814, 8.499416, -3.647738, 0.645771, -2.49582, 1576140344750,0,0,0
-0.256179, -0.311246, 8.643068, -3.316125, 0.401425, -2.70526, 1576140344802,0,0,0
-0.160411, -0.299275, 8.540117, -2.80998, -0.698131, -2.024581, 1576140344855,0,0,0
-0.198718, -0.237025, 8.552088, -3.787364, 1.082104, -1.902408, 1576140344907,0,0,0
-0.167594, -0.349553, 8.746018, -3.892084, 1.361356, -2.111848, 1576140344959,0,0,0
-0.153228, -0.304063, 8.645462, -3.263765, -0.401425, -2.234021, 1576140345012,0,0,0
-0.14844, -0.246602, 8.465897, -3.124139, 0.087266, -2.391101, 1576140345065,0,0,0
-0.184353, -0.371101, 8.62152, -3.87463, 1.605702, -2.478367, 1576140345117,0,0,0
-0.167594, -0.328005, 8.66701, -2.60054, -0.907571, -2.356194, 1576140345170,0,0,0
-0.19393, -0.248996, 8.516175, -3.281218, -0.575958, -1.815142, 1576140345222,0,0,0
-0.11971, -0.316034, 8.544905, -3.804817, 1.32645, -2.408554, 1576140345274,0,0,0
-0.220266, -0.34237, 8.671798, -3.071779, 0.122173, -2.478367, 1576140345327,0,0,0
-0.112527, -0.253785, 8.516175, -3.054326, -0.541052, -2.303834, 1576140345379,0,0,0
-0.155623, -0.354341, 8.535329, -3.438298, 1.308996, -2.478367, 1576140345432,0,0,0
-0.129286, -0.256179, 8.659827, -3.682644, 0.855211, -2.199114, 1576140345484,0,0,0
-0.107739, -0.28491, 8.45632, -2.792526, -1.204277, -2.024581, 1576140345536,0,0,0
-0.196324, -0.244208, 8.418013, -3.525565, 0.750491, -2.129301, 1576140345589,0,0,0
