DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
0.218,1569400646627.0,1,0,0
0.25,1569400647086.0,1,0,0
0.25,1569400647545.0,1,0,0
0.312,1569400648016.0,1,0,0
0.281,1569400648465.0,1,0,0
0.281,1569400648926.0,1,0,0
0.25,1569400649386.0,1,0,0
0.25,1569400649855.0,1,0,0
0.25,1569400650306.0,1,0,0
0.25,1569400650766.0,1,0,0
0.187,1569400651236.0,1,0,0
0.093,1569400651695.0,1,0,0
-0.094,1569400652146.0,2,0,0
-0.375,1569400652606.0,2,0,0
-0.532,1569400653066.0,2,0,0
-0.532,1569400653526.0,2,0,0
-0.532,1569400653987.0,2,0,0
-0.40700000000000003,1569400654437.0,2,0,0
-0.5,1569400654906.0,2,0,0
-0.719,1569400655356.0,2,0,0
-0.75,1569400655817.0,2,0,0
-0.5630000000000001,1569400656291.0,2,0,0
-0.313,1569400656752.0,2,0,0
-0.125,1569400657214.0,2,0,0
0.0,1569400657666.0,2,0,0
0.093,1569400658135.0,2,0,0
0.093,1569400658597.0,2,0,0
0.093,1569400659056.0,1,0,0
0.156,1569400659515.0,1,0,0
0.093,1569400659976.0,2,0,0
0.156,1569400660425.0,2,0,0
0.125,1569400660887.0,2,0,0
0.187,1569400661346.0,2,0,0
0.093,1569400661816.0,2,0,0
-0.188,1569400662280.0,2,0,0
-0.313,1569400662736.0,2,0,0
-0.219,1569400663196.0,2,0,0
-0.094,1569400663647.0,2,0,0
0.0,1569400664116.0,1,0,0
0.125,1569400664569.0,1,0,0
0.093,1569400665026.0,1,0,0
0.093,1569400665487.0,1,0,0
0.125,1569400665945.0,1,0,0
0.093,1569400666406.0,3,0,0
0.031,1569400666866.0,3,0,0
-0.25,1569400667326.0,3,0,0
-0.40700000000000003,1569400667777.0,3,0,0
-0.625,1569400668236.0,3,0,0
-1.0,1569400668697.0,3,0,0
-1.219,1569400669156.0,3,0,0
-1.094,1569400669626.0,3,0,0
-0.625,1569400670086.0,3,0,0
0.031,1569400670547.0,3,0,0
0.0,1569400671006.0,3,0,0
0.0,1569400671467.0,1,0,0
-0.063,1569400671926.0,1,0,0
-0.063,1569400672396.0,1,0,0
0.031,1569400672858.0,1,0,0
0.156,1569400673317.0,1,0,0
0.218,1569400673805.0,1,0,0
0.218,1569400674237.0,2,0,0
0.187,1569400674696.0,2,0,0
0.0,1569400675156.0,2,0,0
-0.094,1569400675617.0,2,0,0
-0.063,1569400676077.0,2,0,0
-0.313,1569400676537.0,2,0,0
-0.5,1569400677006.0,2,0,0
-0.40700000000000003,1569400677457.0,2,0,0
-0.34400000000000003,1569400677916.0,4,0,0
-0.188,1569400678385.0,4,0,0
-0.063,1569400678845.0,4,0,0
-0.063,1569400679305.0,4,0,0
-0.032,1569400679767.0,4,0,0
-0.032,1569400680227.0,4,0,0
-0.157,1569400680696.0,4,0,0
-0.188,1569400681156.0,4,0,0
-0.188,1569400681617.0,4,0,0
-0.219,1569400682076.0,4,0,0
-0.25,1569400682527.0,4,0,0
-0.157,1569400682997.0,4,0,0
-0.125,1569400683456.0,4,0,0
-0.28200000000000003,1569400683917.0,4,0,0
-0.657,1569400684376.0,4,0,0
-0.46900000000000003,1569400684847.0,1,0,0
