DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
17.0,1569400245454.0,1,0,0
17.0,1569400245924.0,1,0,0
17.0,1569400246384.0,1,0,0
16.0,1569400246844.0,1,0,0
16.0,1569400247304.0,1,0,0
16.0,1569400247779.0,1,0,0
16.0,1569400248238.0,1,0,0
16.0,1569400248694.0,2,0,0
16.0,1569400249154.0,2,0,0
16.0,1569400249614.0,2,0,0
14.0,1569400250074.0,2,0,0
13.0,1569400250534.0,2,0,0
13.0,1569400250994.0,2,0,0
13.0,1569400251454.0,2,0,0
13.0,1569400251924.0,2,0,0
13.0,1569400252384.0,2,0,0
13.0,1569400252844.0,2,0,0
12.0,1569400253304.0,2,0,0
12.0,1569400253764.0,2,0,0
12.0,1569400254245.0,2,0,0
12.0,1569400254684.0,1,0,0
12.0,1569400255149.0,1,0,0
12.0,1569400255605.0,1,0,0
12.0,1569400256074.0,1,0,0
12.0,1569400256524.0,1,0,0
12.0,1569400256994.0,1,0,0
11.0,1569400257454.0,1,0,0
11.0,1569400257914.0,1,0,0
10.0,1569400258374.0,1,0,0
10.0,1569400258834.0,1,0,0
10.0,1569400259294.0,1,0,0
10.0,1569400259754.0,1,0,0
10.0,1569400260225.0,1,0,0
10.0,1569400260684.0,1,0,0
10.0,1569400261134.0,1,0,0
10.0,1569400261604.0,1,0,0
9.0,1569400262054.0,1,0,0
9.0,1569400262524.0,1,0,0
9.0,1569400262984.0,1,0,0
9.0,1569400263444.0,1,0,0
9.0,1569400263904.0,1,0,0
9.0,1569400264364.0,1,0,0
9.0,1569400264824.0,2,0,0
9.0,1569400265284.0,2,0,0
8.0,1569400265748.0,2,0,0
8.0,1569400266194.0,2,0,0
8.0,1569400266664.0,2,0,0
8.0,1569400267124.0,2,0,0
8.0,1569400267584.0,2,0,0
8.0,1569400268044.0,2,0,0
7.0,1569400268504.0,2,0,0
7.0,1569400268964.0,2,0,0
8.0,1569400269424.0,2,0,0
8.0,1569400269895.0,2,0,0
9.0,1569400270344.0,2,0,0
9.0,1569400270814.0,2,0,0
9.0,1569400271274.0,1,0,0
10.0,1569400271724.0,1,0,0
10.0,1569400272184.0,1,0,0
10.0,1569400272654.0,1,0,0
11.0,1569400273104.0,1,0,0
12.0,1569400273576.0,1,0,0
12.0,1569400274034.0,5,0,0
12.0,1569400274494.0,5,0,0
13.0,1569400274954.0,5,0,0
13.0,1569400275414.0,5,0,0
13.0,1569400275874.0,5,0,0
13.0,1569400276334.0,5,0,0
14.0,1569400276794.0,5,0,0
14.0,1569400277254.0,5,0,0
15.0,1569400277704.0,5,0,0
15.0,1569400278164.0,5,0,0
16.0,1569400278624.0,5,0,0
16.0,1569400279094.0,5,0,0
15.0,1569400279554.0,5,0,0
15.0,1569400280014.0,1,0,0
15.0,1569400280474.0,1,0,0
15.0,1569400280934.0,2,0,0
14.0,1569400281394.0,2,0,0
14.0,1569400281854.0,2,0,0
13.0,1569400282314.0,2,0,0
13.0,1569400282774.0,2,0,0
13.0,1569400283242.0,2,0,0
13.0,1569400283704.0,2,0,0
13.0,1569400284154.0,2,0,0
12.0,1569400284614.0,2,0,0
